event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-29 12:30,2026-05-29,12:30,AUBANK,CALL,AUBANK26JUN1020CE,2026-05-26 09:15,33.8,22.6,-33.1,-11200.0,1000,22.0,50.7,60.8,UPDATE,4515,OPEN (-33.1%)
2026-05-29 12:30,2026-05-29,12:30,SBIN,PUT,SBIN26JUN970PE,2026-05-26 09:15,21.8,21.55,-1.1,-188.0,750,14.2,32.7,39.2,UPDATE,4515,OPEN (-1.1%)
2026-05-29 12:30,2026-05-29,12:30,TCS,PUT,TCS26JUN2280PE,2026-05-26 09:15,62.05,49.5,-20.2,-2196.0,175,40.3,93.1,111.7,UPDATE,4515,OPEN (-20.2%)
2026-05-29 12:30,2026-05-29,12:30,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-27 09:15,31.35,28.7,-8.5,-1855.0,700,20.4,47.0,56.4,UPDATE,3075,OPEN (-8.5%)
2026-05-29 12:30,2026-05-29,12:30,MOTHERSON,CALL,MOTHERSON26JUN143CE,2026-05-27 09:15,5.85,5.28,-9.7,-3505.0,6150,3.8,8.8,10.5,UPDATE,3075,OPEN (-9.7%)
2026-05-29 12:30,2026-05-29,12:30,MANKIND,CALL,MANKIND26JUN2420CE,2026-05-27 09:15,94.75,91.9,-3.0,-641.0,225,61.6,142.1,170.6,UPDATE,3075,OPEN (-3.0%)
2026-05-29 12:30,2026-05-29,12:30,HDFCBANK,PUT,HDFCBANK26JUN760PE,2026-05-27 09:15,24.3,24.8,2.1,275.0,550,15.8,36.5,43.7,UPDATE,3075,OPEN (+2.1%)
2026-05-29 12:30,2026-05-29,12:30,TCS,PUT,TCS26JUN2280PE,2026-05-27 09:15,62.05,49.5,-20.2,-2196.0,175,40.3,93.1,111.7,UPDATE,3075,OPEN (-20.2%)
2026-05-29 12:30,2026-05-29,12:30,HCLTECH,PUT,HCLTECH26JUN1170PE,2026-05-27 09:15,40.25,29.95,-25.6,-3605.0,350,26.2,60.4,72.5,UPDATE,3075,OPEN (-25.6%)
2026-05-29 12:30,2026-05-29,12:30,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-28 09:15,32.05,28.7,-10.5,-2345.0,700,20.8,48.1,57.7,UPDATE,1635,OPEN (-10.5%)
